follow,fɑ'lou,"① ～(の後)に続く　②～に従う<br>
A (is) followed by B　Ａの次にＢが続く<br>
as follow　次のように",Stage1 Verbs (1),1
following,fɑ'louiŋ,(形) 次の，以下のような,Stage1 Verbs (1),1-1
consider,kənsídər,"～を考慮する；　(＋Ａ＋ (as) Ｂ) ＡをＢとみなす<br>
(＋Ｖing) Ｖしようかと思う　　※ <b>×</b> consider to V",Stage1 Verbs (1),2
consideration,kənsìdəréiʃən,(名) 考慮，思いやり,Stage1 Verbs (1),2-1
considerate,kənsídərət,(形) 思いやりのある,Stage1 Verbs (1),2-2
considering,kənsídəriŋ,(形) ～を考慮すると,Stage1 Verbs (1),2-3
increase,inkrí:s,"増える； ～を増やす<br>
(名) 増加",Stage1 Verbs (1),3
decrease,dikrí:s,"(動) 減る；～を減らす<br>
(名) 減少",Stage1 Verbs (1),3-1
increasingly,inkrí:siŋli,(副) ますます (＝more and more),Stage1 Verbs (1),3-1
expect,ikspékt,"～を予期する，予想する，期待する<br>
expect to V　Ｖするつもり [予定] だ<br>
expect A to V　ＡがＶするのを予期する<br>
expect A from [of] B　ＡをＢに期待する",Stage1 Verbs (1),4
expectation,èkspektéiʃən,(名) 予期，期待,Stage1 Verbs (1),4-1
decide,disáid,"～することを決意する； ～を決定する，～と判断する<br>
deside to V　Vする決意をする",Stage1 Verbs (1),5
decision,disíʒən,(名) 決意，決定,Stage1 Verbs (1),5-1
decisive,disáisiv,(形) 決定的な，断固とした,Stage1 Verbs (1),5-2
develop,divéləp,"① 発達する； ～を発達させる　② ～を開発する<br>
developing country　発展途上国
developed country　先進国",Stage1 Verbs (1),6
development,divéləpmənt,(名) 発展，成長，開発,Stage1 Verbs (1),6-1
provide,prəváid,"～を供給する，与える<br>
provide A with B　ＡをＢに与える<br>
＝provide B for [to] A<br>
provide for  A　Ａに備える；　Ａを養う",Stage1 Verbs (1),7
continue,kəntínju:,"続く； ～を続ける (=go on, carry on)",Stage1 Verbs (1),8
continuous,kəntínjuəs,(形) 絶え間ない，休みない,Stage1 Verbs (1),8-1
continual,kəntínjuəl,(形) 繰り返される,Stage1 Verbs (1),8-2
continuity,kɑ`ntən(j)ú:əti,(名) 連続性,Stage1 Verbs (1),8-3
include,inklú:d,～を含む，含める,Stage1 Verbs (1),9
including,inklú:diŋ,(前) ～を含めて,Stage1 Verbs (1),9-1
exclude,iksklú:d,(動) ～を除外する,Stage1 Verbs (1),9-2
remain,riméin,"① (ある状態の) ままでいる　② とどまる，残る<br>
remain to be Ved　これからＶせねばならない",Stage1 Verbs (1),10
reach,rí:ʧ,"～に着く (=arrive at)； ～に達する<br>
reach for A　Ａをとろうと手を伸ばす<br>
within A's reach　Ａの手の届く範囲に<br>
(名) 届く範囲",Stage1 Verbs (1),11
allow,əláu,"① ～を許可する，許す　② ～を可能にする (＝enable)<br>
①＝permit，let<br>
allow A to V　ＡがＶするのを許す，可能にする<br>
allow for A　Ａを考慮に入れる",Stage1 Verbs (1),12
force,fɔ':rs,"～を強制する<br>
(名) 力，暴力； 軍隊",Stage1 Verbs (1),13
offer,ɔ':fər,"～を申し出る； ～を与える<br>
offer to V　Ｖすると申し出る<br>
(名) 申し出，提案",Stage1 Verbs (1),14
offering,ɔ':fəriŋ,(名) 申し出，提供，供え物,Stage1 Verbs (1),14-1
realize,rí:əlàiz,～を悟る，～に気づく (＋that～)　②~を実現する,Stage1 Verbs (1),15
realization,rì:əlizéiʃən,(名) ① 認識，理解　② 実現,Stage1 Verbs (1),15-1
suggest,səgʤést,"① ～と提案する　② ～をほのめかす，暗示[示唆]する<br>
suggest (to A) that S＋(should) 原形Ｖ　(Ａに)～と提案する",Stage1 Verbs (1),16
suggestion,səgʤésʧən,(名) 提案；暗示,Stage1 Verbs (1),16-1
require,rikwáiər,"～を必要とする (＝need)； ～を要求する (=demand)<br>
require that S＋(should) 原形V",Stage1 Verbs (1),17
requirement,rikwáiərmənt,(名) 要求される物，必要条件,Stage1 Verbs (1),17-1
worry,wə':ri,"心配する； ～に心配させる<br>
be worried about A　Ａのことを心配する<br>
(名) 心配(事)",Stage1 Verbs (1),18
wonder,wʌ'ndər,"① (＋wh/if節) ～かと疑問に思う<br>
② (＋at A) Ａに驚く，Ａを不思議に思う<br>
(It is) no wonder (that) ～　～は不思議ではない；　当然だ<br>
(名) 驚き，不思議(な物)",Stage1 Verbs (1),19
cost,kɔ':st,"① ～を要する　② ～を要する<br>
cost (A) B　(A) にＢ(費用)がかかる<br>
(名) 費用，犠牲",Stage1 Verbs (1),20
costly,kɔ':stli,(形) 高価な；損失の大きい,Stage1 Verbs (1),20-1
tend,ténd,(＋to V) Vする傾向がある，Vしがちである,Stage1 Verbs (1),21
tendency,téndənsi,(名) 傾向，癖,Stage1 Verbs (1),21-1
depend,dipénd,(＋on A) Ａに依存する，Ａしだいで決まる,Stage1 Verbs (1),22
dependent,dipéndənt,(形) 依存する,Stage1 Verbs (1),22-1
dependence,dipéndəns,(名) 依存,Stage1 Verbs (1),22-2
share,ʃéər,"～を分け合う，共有する，一緒に使う<br>
share A with B　ＡをＢと分かち合う",Stage1 Verbs (1),23
demand,dimæ'nd,"① ～を要求する，必要とする　② ～を問う<br>
demand that S＋(should) 原形V　～を要求する<br>
※ <b>×</b> ＋O＋to V の形はない",Stage1 Verbs (1),24
demanding,dimæ'ndiŋ,(形) 骨の折れる，要求の厳しい,Stage1 Verbs (1),24-1
support,səpɔ':rt,"① ～を支持する，援助する　② (家族など)を養う<br>
③ ～を立証する，裏付ける<br>
(名) 支持，援助",Stage1 Verbs (1),25
hire,háiər,～を雇う； <有料で車などを>を借りる,Stage1 Verbs (1),26
regard,rigɑ':rd,"(＋A as B) AをBだと思う，みなす<br>
with [in] regard to A　Ａに関しては<br>
regarding A　Ａに関して<br>
regardless A　Ａに関係なく",Stage1 Verbs (1),27
base,béis,"(A be based on B) AがBに基づいている<br>
(＋A on B) Ａの基礎をＢに置く",Stage1 Verbs (1),28
basic,béisik,(名) 基礎的な,Stage1 Verbs (1),28-1
basement,béismənt,(名) 地下室，地階,Stage1 Verbs (1),28-2
improve,imprú:v,～を向上させる，改善する； 向上する，進歩する,Stage1 Verbs (1),29
improvement,imprú:vmənt,(名) 進歩，改善,Stage1 Verbs (1),29-1
