afterward,æ'ftərwərd,,"<rdb>その後</rdb>，後に<br>
※ イギリス英語では afterwards。アメリカ英語でも多い。入試では 60% 程度が ～s である",,Stage1_Adverbs_etc1
nearly,níərli,,"① <rdb>ほとんど</rdb>，ほぼ (＝almost)　② 危うく～しかける<br>
not nearly　全く～ない (＝not at all)<br>
※ nearly は almost と同様、ある状態にまだ達していないことを意味する<br>
　　nearly 60% も almost 60% も 60%より少ないことを表す",,Stage1_Adverbs_etc1
nearby,nìərbái,,(副) 近くに　(形) 近くの,,Stage1_Adverbs_etc1
therefore,ðéərfɔ`:r,,"<rdb>それゆえに</rdb>，したがって (＝and so)<br>
※ thus の方が堅く、so の方がくだけた表現",,Stage1_Adverbs_etc1
exactly,igzæ'ktli,,"<rdb>正確に</rdb>，完全に；(強い肯定の答え) 全くその通りです<br>
not exactly　ちょっと違う",,Stage1_Adverbs_etc1
exact,igzæ'kt,,(形) 正確な,,Stage1_Adverbs_etc1
possibly,pɑ'səbli,,"① <rdb>ひょっとすると</rdb><br>
② (cannot possibly V) <rdb>どうしてもVできない</rdb><br>
(例) He can't possibly come.　彼はどうしても来られない<br>
(例) He possibly can't come.　ひょっとすると彼は来られないかもしれない",,Stage1_Adverbs_etc1
possible,pɑ'səbl,,(形) 可能な,,Stage1_Adverbs_etc1
possibility,pɑ`səbíləti,,(名) 可能性,,Stage1_Adverbs_etc1
contrary,kɑ'ntreri,,"<rdb>反対に</rdb>，逆に<br>
(形) 反対の<br>
on the contrary　それどころか；どんでもない<br>
contrary to A　　 Ａに反して<br>
to the contrary　 逆の [に]",,Stage1_Adverbs_etc1
occasionally,əkéiʒ(ə)nəli,,"<rdb>時々</rdb>，たまに (＝on occasion)<br>
※ sometimes より低い頻度を表す",,Stage1_Adverbs_etc1
occasional,əkéiʒən(ə)l,,(形) 時々の，時折の,,Stage1_Adverbs_etc1
somehow,sʌ'mhau,,"① <rdb>どういうわけか</rdb>，<rdb>なぜか</rdb><br>
② 何とかして，何らかの方法で",,Stage1_Adverbs_etc1
seldom,séldəm,,"<rdb>めったに～ない</rdb> (＝hardly ever)<br>
※ 助動詞 または be動詞がある場合、その直後に seldom を置く<br>
(例) This is seldom used.　これはめったに使われない",,Stage1_Adverbs_etc1
thus,ðʌ's,,"① <rdb>それゆえ</rdb>，したがって (＝therefore)　　※ 後ろに結果が来る<br>
② <rdb>そのように</rdb>，このように (＝in this way)<br>
③ これほど，この程度<br>
※ thus ＝so と考えればどの意味もわかる",,Stage1_Adverbs_etc1
throughout,θru:áut,,"(前) <rd><場所> の</rd><rdb>いたる所に</rdb>，<時間> を通して，～の間中<br>
(副) 始めから終わりまで，ずっと；まったく",,Stage1_Adverbs_etc1
unlike,ʌnláik,,"(前) <rd>～と</rd><rdb>違って</rdb>，～に似ず<br>
※ unlike の後に in などの前置詞が来ることがある<br>
(例) unlike in Japan　日本でとは異なり",,Stage1_Adverbs_etc1
besides,bisáidz,,"(前) <rd>～に</rd><rdb>加えて</rdb>，～の上に (＝in addition to)<br>
(副) その上に<br>
※ biside　～の横に と混同しないように !!!",,Stage1_Adverbs_etc1
